Accuracies,,,TM,Perception,,
MDS-a,TSNE-a,UMAP-a,TM,MDS-b,TSNE-b,UMAP-b
0,0.08,0.1,"(LSI,+,+)",0,0.12,0.05
0.1,0.07,0.1,"(LSI,+,-)",0,0.12,0.16
0,0.0600000000000001,0.01,"(VSM,-,X)",0,0.07,0.11
0,0.1,0.12,"(NMF,-,+)",0,0.08,0
0,0.07,0.1,"(LSI,-,-)",0,0.07,0.01
0,0.11,0.11,"(LDA,X,+)",0,0.12,0.04
0,0.13,0.11,"(NMF,-,-)",0,0.12,0
0,0.07,0.1,"(LSI,-,+)",0,0.07,0
0,0.08,0.12,"(BERT,X,X)",0,0.15,0.13
0,0,0,"(NMF,+,+)",0,0.09,0.02
0,0,0,"(NMF,+,-)",0,0.07,0.02
0,0.04,0.02,"(VSM,+,X)",0,0.08,0.12
0,0.12,0.12,"(LDA,X,-)",0,0.03,0.16
