0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
would,window,key,key,drive,god,card,drive,car,space,file,apple,sale,gun,bike,mouse,mouse,mouse,morality,printer
use,file,game,god,window,gun,driver,gun,window,file,card,file,bike,file,car,car,monitor,drive,objective,font
get,god,chip,game,file,car,drive,window,bike,henry,window,monitor,god,monitor,mouse,apple,apple,de,bike,driver
people,card,team,team,ide,card,file,file,god,gun,driver,mac,car,sale,driver,bike,key,file,de,print
one,drive,clipper,chip,car,key,gun,ide,key,sale,apple,color,gun,god,de,driver,color,sale,sale,bike
say,driver,encryption,clipper,controller,game,video,disk,driver,zoo,mac,window,access,card,window,monitor,access,monitor,frank,player
window,people,player,encryption,card,drive,disk,sale,gun,window,monitor,mail,space,government,apple,access,kent,access,value,key
know,disk,win,player,disk,ide,window,mail,space,car,sale,driver,henry,mouse,gun,color,morality,port,sun,fi
go,video,play,window,program,bike,mouse,monitor,mouse,god,mouse,ide,window,video,monitor,graphic,drive,color,mac,car
think,color,escrow,escrow,win,chip,diamond,god,ride,mail,space,de,offer,window,tu,kent,objective,tu,moral,de
