0,1,2,3,4,5,6,7,8,9,10,11,12,13
author,war,force,share,force,charge,water,energy,share,vector,mass,number,state,party
book,cash,motion,call,use,wave,surface,particle,light,cell,cell,instruction,energy,population
write,soviet,two,chromosome,body,field,point,per,united,use,nucleus,call,side,union
movement,also,body,capital,time,electric,air,time,new,also,electron,use,united,country
include,united,state,figure,power,point,pressure,mass,world,system,energy,one,nation,become
new,state,change,two,memory,time,plant,share,call,human,time,bit,year,organism
many,government,law,issue,war,two,ocean,point,war,organism,plant,figure,take,number
soviet,union,velocity,become,friction,direction,call,work,account,time,number,memory,country,year
national,new,acceleration,year,would,give,due,potential,use,two,particle,plant,war,people
country,become,fig,population,china,surface,movement,surface,also,animal,debenture,register,economic,government
