N, e1,e2,e3,e4,e5,e6
14,0.11222,0.094147,0.097045,0.14098,NaN,NaN
16,0.1111,0.084963,0.08077,0.18101,1.0924,NaN
18,0.10827,0.076161,0.075169,0.17305,0.4664,NaN
20,0.10552,0.070473,0.070766,0.1986,0.46946,0.50549
22,0.10234,0.067012,0.065705,0.29835,0.24341,0.24483
24,0.010977,0.060848,0.055969,0.42577,0.3394,0.1944
26,0.0080443,0.046987,0.036696,0.082207,0.15225,0.065821
28,0.0055202,0.012223,0.027869,0.033881,0.02703,0.026969
30,0.0026177,0.0068133,0.0085892,0.0081126,0.0077413,0.013918
32,0.0012537,0.0019534,0.0073201,0.0084008,0.003411,0.0043826
34,0.00099079,0.001081,0.0011834,0.001104,0.0011064,0.0010536
36,0.00065405,0.00059498,0.0012402,0.0012167,0.0010299,0.0012772
38,0.00038309,0.00041487,0.00092851,0.00093222,0.0008198,0.00023243
40,0.00022216,0.00035545,0.00054708,0.00050722,0.00045207,0.00032398
42,0.00012172,0.00024232,0.00023792,0.0002467,0.00023696,0.00023842
44,8.0381e-05,0.00013945,0.00013168,0.00012814,8.3928e-05,7.9803e-05
46,6.2034e-05,7.3439e-05,8.0706e-05,7.9798e-05,5.2612e-05,5.4148e-05
48,3.0482e-05,6.0334e-05,6.2978e-05,6.3548e-05,6.748e-05,7.3706e-05
50,1.8867e-05,5.4184e-05,3.3904e-05,5.0746e-05,7.1107e-05,6.7061e-05
