N, RMSE, Max
20,2.6823,18.474
22,2.0321,13.552
24,1.3871,7.879
26,1.0473,5.8213
28,0.79351,4.9267
30,0.72111,5.2876
32,0.53534,4.1292
34,0.40402,2.7973
36,0.26972,1.6457
38,0.21536,1.1179
40,0.16565,1.1005
42,0.12551,0.72709
44,0.091172,0.56902
46,0.069471,0.41717
48,0.041863,0.23596
50,0.042708,0.25691
52,0.033529,0.1988
54,0.027888,0.15785
56,0.025555,0.17996
58,0.020539,0.13737
60,0.013277,0.079682
62,0.010476,0.062722
64,0.0085759,0.0443
66,0.0063402,0.036385
68,0.0060356,0.03376
70,0.0062263,0.037564
72,0.0039592,0.023429
74,0.003307,0.01744
76,0.0031272,0.019413
78,0.0023276,0.012644
80,0.0019422,0.012313
