id, x, y, label, color, size
plvflat0, 2.531, 2.267, v0, orange, 0.25
plvflat1, 3.328, 2.249, v1, orange, 0.25
plvflat2, 1.749, 2.094, v2, orange, 0.25
plvflat3, 2.359, 3.068, v3, orange, 0.25
plvflat4, 1.998, 1.651, v4, orange, 0.25
plvflat5, 2.962, 2.308, v10, cyan, 0.20
plvflat6, 2.153, 2.439, v14, cyan, 0.20
plvflat7, 2.128, 2.012, v15, cyan, 0.20
plvflat8, 3.676, 2.162, v27, cyan, 0.20
plvflat9, 1.492, 2.311, v34, cyan, 0.20
plvflat10, 3.430, 1.836, v35, cyan, 0.20
plvflat11, 2.187, 2.223, v48, cyan, 0.20
plvflat12, 3.490, 2.641, v60, cyan, 0.20
plvflat13, 2.647, 2.636, v68, cyan, 0.20
plvflat14, 2.640, 3.322, v70, cyan, 0.20
plvflat15, 2.402, 1.831, v82, cyan, 0.20
plvflat16, 2.441, 2.713, v91, cyan, 0.20
plvflat17, 2.245, 2.583, v96, cyan, 0.20
plvflat18, 2.765, 1.851, v98, cyan, 0.20
plvflat19, 2.837, 2.546, v99, cyan, 0.20
plvflat20, 2.569, 1.908, v100, cyan, 0.20
plvflat21, 2.864, 2.089, v104, cyan, 0.20
