(a) Knowledge of Individual Concepts,(b) Knowledge of Wider Scope,(c) Knowledge of Trichotomic Relationship,(d) Knowledge of Terminology,(e) Undertake Independent Learning,(f) Access to Knowledge Without Expert,(g) Enabled Discussions With Expert,(h) Enabled Discussions With Others
4,4,4,4,4,4,4,4
5,6,5,4,4,3,4,4
7,7,7,7,7,7,7,7
6,6,6,6,6,5,6,6
6,7,5,2,5,6,7,3
7,7,7,7,5,7,7,7
5,5,5,5,4,4,4,4
7,7,7,7,7,7,7,5
5,6,4,4,6,1,5,6
2,4,3,3,3,2,2,2
7,7,7,7,7,7,1,7
5,5,5,5,4,5,6,5
6,6,5,6,6,6,6,6
4,4,4,4,4,4,4,4
7,7,7,6,7,7,6,7
3,3,3,3,3,3,3,3
6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7
7,7,7,7,1,7,7,7
5,5,5,5,3,5,5,5
5,6,6,5,4,3,5,3
4,4,4,4,4,4,4,4
3,3,3,4,3,4,4,5
